OBČINA,KANDIDAT,SPOL,PREDLAGATELJ,OBLJUBA,ZMAGA,IZVAJA PP,PRVI DROPDOWN,DRUGI DROPDOWN,MAIL,LINK DO PP
OBČINA RIBNICA NA POHORJU,Srečko Geč,m,SD,1,1,0,1,0,obcina@ribnicanapohorju.si,
OBČINA SEŽANA,David Škabar,m,Marjan Masič in skupina volivcev,1,1,0,1,0,kabinet.zupana@sezana.si,
OBČINA ŠKOFLJICA,Ivan Jordan,m,Andreja Knez in skupina volivcev,1,1,0,1,0,obcina@obcina.skofljica.si,
OBČINA TRZIN,Peter Ložar,m,Nuša Repše in skupina volivcev,1,1,0,1,0,peter.lozar@trzin.si,
OBČINA VITANJE,Slavko Vetrih,m,SLS,1,1,0,1,0,slavko.vetrih@vitanje.si,
OBČINA VRHNIKA,Daniel Cukjati,m,Daniel Cukjati in skupina volivcev,1,1,0,1,0,zupan.obcina@vrhnika.si,
OBČINA ŽALEC,Janko Kos,m,SD,1,1,0,1,0,janko.kos@zalec.si,
OBČINA ŽIROVNICA,Leopold Pogačar,m,"Miran Dolar in skupina volivcev ""Neodvisna lista za Žirovnico""",1,1,0,1,0,zupan@zirovnica.si,
MESTNA OBČINA CELJE,Bojan Šrot,m,Celjska županova lista Slovenije,0,1,0,0,1,kabinet-zupana@celje.si,
MESTNA OBČINA LJUBLJANA,Zoran Janković,m,Jože Mermal s skupino volivcev,0,1,0,0,1,zoran.jankovic@ljubljana.si,
MESTNA OBČINA NOVO MESTO,Gregor Macedoni,m,Boštjan Grobler in skupina volivcev,0,1,0,0,1,zupan@novomesto.si,
MESTNA OBČINA VELENJE,Peter Dermol,m,SD ter Aleksandra Žuber in skupina volivcev,1,1,0,0,1,peter.dermol@velenje.si,
OBČINA ANKARAN,Gregor Strmčnik,m,Darij Dujmovič in skupina volivcev,0,1,0,0,1,kab@obcina-ankaran.si,
OBČINA APAČE,Andrej Steyer,m,SDS,0,1,0,0,1,info@obcina-apace.si,
OBČINA BELTINCI,Marko Virag,m,Tadej Apatič in skupina volivcev,0,1,0,0,1,obcina@beltinci.si,
OBČINA BISTRICA OB SOTLI,Franjo Debelak,m,Dušan Berkovič in skupina volivcev,0,1,0,0,1,franjo.debelak@bistricaobsotli.si,
OBČINA BLED,Janez Fajfar,m,Anže Logar in skupina volivcev,0,1,0,0,1,janez.fajfar@bled.si,
OBČINA BLOKE,Jože Doles,m,SLS,0,1,0,0,1,obcina.bloke@bloke.si,
OBČINA BOROVNICA,Bojan Čebela,m,Ula Čebela in skupina volivcev,0,1,0,0,1,obcina@borovnica.si,
OBČINA BRDA,Franc Mužič,m,Ernest Žnidarčič,0,1,0,0,1,info@obcina-brda.si,
OBČINA BREZOVICA,Metod Ropret,m,Kušar Aleš in skupina volivcev,0,1,0,0,1,metod.ropret@brezovica.si,
OBČINA CANKOVA,Danilo Kacijan,m,Darko Kerec in skupina volivcev,0,1,0,0,1,tajnistvo@obcina-cankova.si,
OBČINA CERKLJE NA GORENJSKEM,Franc Čebulj,m,Ivan Fras in skupina volivcev,0,1,0,0,1,obcinacerklje@siol.net,
OBČINA CERKNICA,Marko Rupar,m,SDS,0,1,0,0,1,urad.zupana@cerknica.si,
OBČINA CERKVENJAK,Marjan Žmavc,m,Damjan Žmavc in skupina volivcev,0,1,0,0,1,obcina@cerkvenjak.si,
OBČINA ČRENŠOVCI,Vera Markoja,ž,"Štefan Ftičar in skupina volivcev ""Glas ljudstva - neodvisna lista""",0,1,1,1,0,info@obcina-crensovci.si,https://www.obcina-crensovci.si/objava/553856
OBČINA ČRNOMELJ,Andrej Kavšek,m,Vladimir Radovič in skupina volivcev,0,1,0,0,1,kabinet@crnomelj.si,
OBČINA DESTRNIK,Franc Pukšič,m,Miran Kramberger in skupina volivcev - Najprej Destrnik,0,1,0,0,1,obcina.destrnik@destrnik.si,
OBČINA DIVAČA,Alenka Štrucl Dovgan,ž,Nataša Hreščak in skupina volivcev,0,1,1,1,0,alenka.strucl@divaca.si,https://divaca.si/razpis/552180
OBČINA DOBJE,Franc Leskovšek,m,SLS,0,1,0,0,1,franc.leskovsek@dobje.si,
OBČINA DOBRNA,Martin Brecl,m,SLS,0,1,0,0,1,martin.brecl@dobrna.si,
OBČINA DOBROVA-POLHOV GRADEC,Franc Setnikar,m,Janko Dolinar in skupina volivcev,0,1,0,0,1,zupan@dobrova-polhovgradec.si,
OBČINA DOBROVNIK,Marjan Kardinar,m,Marija Kardinar in skupina volivcev,0,1,0,0,1,marjan.kardinar@dobrovnik.si,
OBČINA DOLENJSKE TOPLICE,Franc Vovk,m,Jernej Ban in skupina volivcev,0,1,0,0,1,obcina@dolenjske-toplice.si,
OBČINA DORNAVA,Janko Merc,m,Jože Brodnjak in skupina volivcev,0,1,0,0,1,obcina.dornava@dornava.si,
OBČINA DUPLEK,Mitja Horvat,m,Majda Zajc in skupina volivcev,0,1,0,0,1,mitja.horvat@duplek.si,
OBČINA GORIŠNICA,Jožef Kokot,m,SLS,0,1,0,0,1,obcina@gorisnica.eu,
OBČINA GORJE,Peter Torkar,m,Katjuša Torkar in skupina volivcev,0,1,0,0,1,obcina.gorje@gorje.si,
OBČINA GORNJI GRAD,Anton Špeh,m,Aljaž Špeh in skupina volivcev,0,1,0,0,1,obcina@gornji-grad.si,
OBČINA GORNJI PETROVCI,Franc Šlihthuber,m,Janez Šlihthuber in skupina volivcev,0,1,0,0,1,zupan@gornji-petrovci.si,
OBČINA GRAD,Cvetka Ficko,ž,Marjan Ficko in skupina volivcev,0,1,0,0,1,tajnistvo@obcina-grad.si,
OBČINA GROSUPLJE,Peter Verlič,m,SDS,0,1,0,0,1,peter.verlic@grosuplje.si,
OBČINA HOČE-SLIVNICA,Marko Soršak,m,Znamo.Zmoremo! Marko Soršak.,0,1,0,0,1,obcina@hoce-slivnica.si,
OBČINA HODOŠ,Ludvik Orban,m,Rudolf Bunderla ml.,0,1,0,0,1,obcina-hodos-kozseg@siol.net,
OBČINA HORJUL,Janko Prebil,m,NSI,0,1,0,0,1,obcina@horjul.si,
OBČINA IDRIJA,Tomaž Vencelj,m,Jurij Kavčič in skupna volivcev,0,1,0,0,1,obcina.idrija@idrija.si,
OBČINA IG,Janez Cimperman,m,SLS,0,1,0,0,1,janez.cimperman@obcina-ig.si,
OBČINA IVANČNA GORICA,Dušan Strnad,m,SDS,0,1,0,0,1,obc.ivancna.gorica@siol.net,
OBČINA JEZERSKO,Andrej Karničar,m,Izidor Karničar,0,1,0,0,1,obcina@jezersko.si,
OBČINA JURŠINCI,Alojzij Kaučič,m,SLS,0,1,0,0,1,obcina.jursinci@jursinci.si,
OBČINA KAMNIK,Matej Slapar,m,NSI,0,1,0,0,1,zupan@kamnik.si,
OBČINA KIDRIČEVO,Anton Leskovar,m,SDS,0,1,0,0,1,obcina@kidricevo.si,
OBČINA KOBARID,Marko Matajurc,m,Maja Manfreda in skupina volivcev,0,1,0,0,1,obcina@kobarid.si,
OBČINA KOBILJE,Robert Ščap,m,SLS,0,1,0,0,1,zupan@kobilje.si,
OBČINA KOČEVJE,Vladimir Prebilič,m,Lilijana Štefanič in skupina volivcev,0,1,0,0,1,obcina@kocevje.si,
OBČINA KOMENDA,Stanislav Poglajen,m,Mirko Pogačar in skupina volivcev,0,1,0,0,1,slavko.poglajen@komenda.si,
OBČINA KOSTANJEVICA NA KRKI,Ladko Petretič,m,Robert Zagorc in skupina volivcev,0,1,0,0,1,obcina@kostanjevica.si,
OBČINA KOSTEL,Ivan Črnkovič,m,Miran Briški in skupina volivcev,0,1,0,0,1,ivan.crnkovic@kostel.si,
OBČINA KOZJE,Milenca Krajnc,ž,Jožef Kajba in skupina volivcev,0,1,0,0,1,obcina.kozje@siol.net,
OBČINA KRANJSKA GORA,Janez Hrovat,m,Darja Hrovat in skupina volivcev,0,1,0,0,1,janez.hrovat@kranjska-gora.si,
OBČINA KRIŽEVCI,Branko Belec,m,Franc Sreš in skupina volivcev,0,1,0,0,1,info@obcina-krizevci.si,
OBČINA KUNGOTA,Tamara Šnofl,ž,Andrej Plohl in skupina volivcev,0,1,0,0,1,obcina@kungota.si,
OBČINA KUZMA,Jožef Škalič,m,Marina Huber in skupina volivcev,0,1,0,0,1,info@obcina-kuzma.si,
OBČINA LAŠKO,Franc Zdolšek,m,SLS,0,1,1,1,0,obcina@lasko.si,https://www.lasko.si/staticne/6352-participativni-proracun-obcine-lasko-2021
OBČINA LENART,Janez Kramberger,m,Stanka Ferš in skupina volivcev,0,1,0,0,1,obcina@lenart.si,
OBČINA LENDAVA,Janez Magyar,m,SDS,0,1,0,0,1,obcina@lendava.si,
OBČINA LITIJA,Franc Rokavec,m,SLS,0,1,0,0,1,obcina.litija@litija.si,
OBČINA LJUBNO,Franjo Naraločnik,m,Greta Naraločnik in skupina volivcev,0,1,0,0,1,obcina@ljubno.si,
OBČINA LJUTOMER,Olga Karba,ž,dr. Miran Puconja in skupina volivcev z Olgo in ekipo Sr(e)čno naprej!,0,1,0,0,1,obcina.ljutomer@ljutomer.si,
OBČINA LOG-DRAGOMER,Miran Stanovnik,m,Matija Nik in skupina volivcev,0,1,0,0,1,obcina@log-dragomer.si,
OBČINA LOŠKI POTOK,Ivan Benčina,m,Janez Debeljak in skupina volivcev,0,1,0,0,1,zupan@loski-potok.si,
OBČINA LOVRENC NA POHORJU,Marko Rakovnik,m,Anžej Bečan in skupina volivcev,0,1,1,1,0,marko.rakovnik@lovrenc.si,https://www.lovrenc.si/objava/267749
OBČINA LUČE,Ciril Rosc,m,Andrej Šiljar in skupina volivcev,0,1,0,0,1,obcina@luce.si,
OBČINA LUKOVICA,Olga Vrankar,ž,Marjan Kveder in skupina volivcev,0,1,0,0,1,info@lukovica.si,
OBČINA MAJŠPERK,Darinka Fakin,ž,SLS,0,1,0,0,1,obcina.majsperk@majsperk.si,
OBČINA MAKOLE,Franc Majcen,m,Petra Novak in skupina volivcev,0,1,0,0,1,obcina@obcina-makole.si,
OBČINA MENGEŠ,Franc Jerič,m,Jurij Jerič in skupina volivcev,0,1,0,0,1,obcina.menges@menges.si,
OBČINA MEŽICA,Dušan Krebel,m,Roman Abraham in skupina volivcev,0,1,0,0,1,info@mezica.si,
OBČINA MIKLAVŽ NA DRAVSKEM POLJU,Egon Repnik,m,LM - Lista za skupno občino Miklavž na D. P.,0,1,0,0,1,obcina.miklavz@miklavz.si,
OBČINA MIREN-KOSTANJEVICA,Mauricij Humar,m,Zorko Budin in skupina volivcev,0,1,0,0,1,tajnistvo@miren-kostanjevica.si,
OBČINA MIRNA,Dušan Skerbiš,m,Barica Kraljevski in skupina volivcev,0,1,0,0,1,obcina@mirna.si,
OBČINA MIRNA PEČ,Andrej Kastelic,m,Damjan Zupančič in skupina volivcev,0,1,0,0,1,obcina.mirnapec@siol.net,
OBČINA MOKRONOG-TREBELNO,Anton Maver,m,Franc Glušič in skupina volivcev,0,1,0,0,1,obcina@mokronog-trebelno.si,
OBČINA MORAVSKE TOPLICE,Alojz Glavač,m,Vlasta Glavač in skupina volivcev,0,1,0,0,1,obcina@moravske-toplice.si,
OBČINA MOZIRJE,Ivan Suhoveršnik,m,Jožef Skornšek in skupina volivcev,0,1,0,0,1,zupan@mozirje.si,
OBČINA MUTA,Miroslav Vošner,m,Rudolf Koležnik in skupina volivcev,0,1,0,0,1,obcina.muta@muta.si,
OBČINA NAKLO,Ivan Meglič,m,SLS,0,1,0,0,1,ivan.meglic@obcina-naklo.si,
OBČINA NAZARJE,Matej Pečovnik,m,Nataša Pečovnik Perme in skupina volivcev,0,1,0,0,1,obcina@nazarje.si,
OBČINA ODRANCI,Ivan Markoja,m,Zeleni Slovenije,0,1,0,0,1,obcina.odranci@siol.net,
OBČINA OPLOTNICA,Matjaž Orter,m,Miroslav Vodovnik in skupina volivcev,0,1,0,0,1,obcina@oplotnica.si,
OBČINA ORMOŽ,Danijel Vrbnjak,m,SDS,0,1,0,0,1,danijel.vrbnjak@ormoz.si,
OBČINA OSILNICA,Alenka Kovač,ž,SMC,0,1,0,0,1,zupanja.osilnica@siol.net,
OBČINA PIVKA,Robert Smrdelj,m,SLS,0,1,0,0,1,obcina@pivka.si,
OBČINA PODČETRTEK,Peter Misja,m,Jana Stojnšek in skupina volivcev,0,1,0,0,1,zupan@podcetrtek.si,
OBČINA PODLEHNIK,Sebastian Toplak,m,Janez Koren in skupina volivcev,0,1,0,0,1,zupan@podlehnik.si,
OBČINA POLJČANE,Stanislav Kovačič,m,Golob Marjan in skupina volivcev,0,1,0,0,1,stane.kovacic@poljcane.si,
OBČINA POLZELA,Jože Kužnik,m,Dušan Pungartnik in skupina volivcev,0,1,0,0,1,joze.kuznik@polzela.si,
OBČINA PREVALJE,Matija Tasič,m,Marijana Petrič in skupina volivcev,0,1,0,0,1,obcina@prevalje.si,
OBČINA PUCONCI,Ludvik Novak,m,SLS,0,1,0,0,1,obcina.puconci@puconci.si,
OBČINA RADENCI,Roman Leljak,m,Maja Rožman in skupina volivcev,0,1,0,0,1,zupan@radenci.si,
OBČINA RAVNE NA KOROŠKEM,Tomaž Rožen,m,Aljaž Verhovnik in skupina občanov,0,1,0,0,1,obcina@ravne.si,
OBČINA RAZKRIŽJE,Stanko Ivanušič,m,Dejan Rob in skupina volivcev,0,1,1,1,0,obcinarazkrizje@siol.net,http://www.razkrizje.si/predlog-proracuna-obcine-razkrizje-za-leto-2022-in-participativni-proracun-2022-obrazec/
OBČINA REČICA OB SAVINJI,Ana Rebernik,ž,Stanislava Prislan in skupina volivcev,0,1,0,0,1,tajnistvo@obcina-recica.si,
OBČINA RIBNICA,Samo Pogorelc,m,Franc Trdan in skupina volivcev,0,1,0,0,1,obcina@ribnica.si,
OBČINA ROGAŠKA SLATINA,Branko Kidrič,m,SLS,0,1,0,0,1,obcina@rogaska-slatina.si,
OBČINA ROGAŠOVCI,Edvard Mihalič,m,Alojz Mekiš in skupina volivcev,0,1,0,0,1,edvard.mihalic@obcina-rogasovci.si,
OBČINA ROGATEC,Martin Mikolič,m,NSI,0,1,0,0,1,obcina@rogatec.si,
OBČINA RUŠE,Urška Repolusk,ž,Stanislav Krainer in skupina volivcev,0,1,1,1,0,zupanja@ruse.si,https://www.ruse.si/objava/552963
OBČINA ŠALOVCI,Iztok Fartek,m,Ivanka Balek in skupina volivcev,0,1,0,0,1,info@salovci.si,
OBČINA SELNICA OB DRAVI,Vlasta Krmelj,ž,SDS,0,1,0,0,1,info@selnica.si,
OBČINA ŠEMPETER-VRTOJBA,Milan Turk,m,Pavel Černe in skupina volivcev,0,1,0,0,1,info@sempeter-vrtojba.si,
OBČINA ŠENČUR,Ciril Kozjek,m,"SLS, SDS",0,1,0,0,1,obcina@sencur.si,
OBČINA ŠENTJERNEJ,Radko Luzar,m,Franc Bevc in skupina volivcev,0,1,0,0,1,sentjernej@siol.net,
OBČINA ŠENTJUR,Marko Diaci,m,Županova lista - Gibanje za občino Šentjur,0,1,0,0,1,obcina.sentjur@sentjur.si,
OBČINA ŠENTRUPERT,Andrej Martin Kostelec,m,SDS,0,1,0,0,1,obcina@sentrupert.si,
OBČINA ŠKOCJAN,Jože Kapler,m,SDS,0,1,0,0,1,info@obcina-skocjan.si,
OBČINA SLOVENSKA BISTRICA,Ivan Žagar,m,"SLS, SDS, NSi",0,1,0,0,1,obcina@slov-bistrica.si,
OBČINA ŠMARJE PRI JELŠAH,Matija Čakš,m,Anton Guzej in skupina volivcev,0,1,0,0,1,obcina@smarje.si,
OBČINA ŠMARJEŠKE TOPLICE,Marjan Hribar,m,Gašper Gregorčič in skupina volivcev,0,1,0,0,1,marjan.hribar@smarjeske-toplice.si,
OBČINA ŠMARTNO OB PAKI,Janko Kopušar,m,Natalija Zabukovnik in skupina volivcev,0,1,1,1,0,obcina.smartno@siol.net,https://smartnoobpaki.e-obcina.si/objava/562679
OBČINA ŠMARTNO PRI LITIJI,Rajko Meserko,m,Darko Vidic in skupina volivcev,0,1,0,0,1,zupan@smartno-litija.si,
OBČINA SODRAŽICA,Blaž Milavec,m,SLS,0,1,0,0,1,darja.vetrih@sodrazica.si,
OBČINA SOLČAVA,Katarina Prelesnik,ž,Jasmina Štiftar in skupina volivcev,0,1,0,0,1,obcina@solcava.si,
OBČINA ŠOŠTANJ,Darko Menih,m,SDS,0,1,1,1,0,darko.menih@sostanj.si,https://www.sostanj.si/objava/547750
OBČINA SREDIŠČE OB DRAVI,Jurij Borko,m,SDS,0,1,0,0,1,obcina.sredisce.ob.dravi@siol.net,
OBČINA STARŠE,Bojan Kirbiš,m,DeSUS,0,1,0,0,1,zupan@starse.si,
OBČINA ŠTORE,Miran Jurkošek,m,"Miran Jurkošek in skupina volivcev ""Županova neodvisna lista za razvoj""",0,1,0,0,1,obcina@store.si,
OBČINA STRAŽA,Dušan Krštinc,m,Martin Krštinc in skupina volivcev RIOS,0,1,0,0,1,dusan.krstinc@obcina-straza.si,
OBČINA SVETA ANA,Silvo Slaček,m,Vinko Ketiš in skupina volivcev,0,1,0,0,1,obcina@sv-ana.si,
OBČINA SVETI ANDRAŽ V SLOV. GORICAH,Darja Vudler,ž,Neodvisna lista Skupaj za ljudi! Mitja Berlak in skupina volivcev,0,1,0,0,1,info@svandraz.si,
OBČINA SVETI JURIJ OB ŠČAVNICI,Anton Slana,m,Franc Čuš in skupina volivcev,0,1,0,0,1,obcina@sveti-jurij.si,
OBČINA SVETI JURIJ V SLOVENSKIH GORICAH,Peter Škrlec,m,SDS,0,1,0,0,1,zupan@obcinajurij.si,
OBČINA SVETI TOMAŽ,Mirko Cvetko,m,NSI,0,1,0,0,1,zupan@sv-tomaz.si,
OBČINA TABOR,Marko Semprimožnik,m,SLS,0,1,0,0,1,zupan@obcina-tabor.si,
OBČINA TIŠINA,Franc Horvat,m,SLS,0,1,0,0,1,zupan@tisina.si,
OBČINA TOLMIN,Uroš Brežan,m,Martina Kenda in skupina volivcev,0,1,1,1,0,info@tolmin.si,https://mladapobuda.si/
OBČINA TRBOVLJE,Jasna Gabrič,ž,Lista Jasne Gabrič za Trbovlje,0,1,0,0,1,obcina.trbovlje@trbovlje.si,
OBČINA TREBNJE,Alojzij Kastelic,m,Branko Meglič in skupina volivcev,0,1,0,0,1,info@trebnje.si,
OBČINA TRNOVSKA VAS,Alojz Benko,m,SLS,0,1,0,0,1,obcina.trnovska.vas@siol.net,
OBČINA TRŽIČ,Borut Sajovic,m,Dušan Bodlaj in skupina volivcev,0,1,0,0,1,borut.sajovic@trzic.si,
OBČINA TURNIŠČE,Borut Horvat,m,SDS,0,1,0,0,1,obcina@turnisce.si,
OBČINA VELIKA POLANA,Damijan Jaklin,m,Alojz Jerebic in skupina volivcev,0,1,0,0,1,obcina@velika-polana.si,
OBČINA VELIKE LAŠČE,Tadej Malovrh,m,Tadej Malovrh in skupina volivcev,0,1,0,0,1,zupan@velike-lasce.si,
OBČINA VERŽEJ,Slavko Petovar,m,SLS,0,1,0,0,1,obcina.verzej@siol.net,
OBČINA VIDEM,Branko Marinič,m,SDS,0,1,0,0,1,branko.marinic@videm.si,
OBČINA VIPAVA,Goran Kodelja,m,Sonja Lukin in skupina volivcev,0,1,0,0,1,goran.kodelja@vipava.si,
OBČINA VODICE,Aco Franc Šuštar,m,Marjan Podgoršek in skupina volivcev,0,1,0,0,1,obcina@vodice.si,
OBČINA VOJNIK,Branko Petre,m,"NSi, SDS",0,1,0,0,1,obcina@vojnik.si,
OBČINA VRANSKO,Franc Sušnik,m,SDS,0,1,0,0,1,obcina.vransko@vransko.si,
OBČINA ZAGORJE OB SAVI,Matjaž Švagan,m,ZGN - Zagorje gre naprej - Združenje za napredek Zasavja,0,1,0,0,1,matjaz.svagan@zagorje.si,
