ID,Občina/Mestna občina,Občina,Izvaja PP,Zaveza PP,Župan,Spol,Email,Dokazilo,Komentar,,,,,
11,Mestna občina,Celje,TRUE,TRUE,Matija Kovač,m,mestna.obcina@celje.si,https://www.celjepomoje.si/,,x,,,,
12,Občina,Cerklje na Gorenjskem,FALSE,FALSE,Franc Čebulj,m,obcinacerklje@siol.net,,,x,,,,
13,Občina,Cerknica,FALSE,TRUE,Marko Rupar,m,obcina@cerknica.si,,,x,,,,
14,Občina,Cerkno,FALSE,FALSE,Gašper Uršič,m,obcina@cerkno.si,,,x,,,,
153,Občina,Cerkvenjak,FALSE,FALSE,Marjan Žmavc,m,obcina@cerkvenjak.si,,,x,,,,
196,Občina,Cirkulane,TRUE,FALSE,Antonija Žumbar,f,obcina.cirkulane@cirkulane.si,https://www.cirkulane.si/objava/1004395,Zamenjal link na trenutni pp,x,,,,
15,Občina,Črenšovci,TRUE,TRUE,Vera Markoja,f,info@obcina-crensovci.si,https://www.obcina-crensovci.si/objava/1239686#category380,zamenjal link na trenutni pp,x,,,,
16,Občina,Črna na Koroškem,TRUE,TRUE,mag. Romana Lesjak,f,obcina@crna.si,https://www.crna.si/index.php/obcina-crna/proracuni/participativni-proracun,,x,POSLAT VPRAŠANJE,kje so rezultati?,v pravilniku je ok,x
17,Občina,Črnomelj,FALSE,FALSE,Andrej Kavšek,m,obcina@crnomelj.si,,,x,,,,
18,Občina,Destrnik,FALSE,FALSE,Vlasta Tetičkovič-Toplak,f,obcina.destrnik@destrnik.si,,,x,,,,
19,Občina,Divača,TRUE,TRUE,Alenka Štrucl Dovgan,f,obcina@divaca.si,https://www.divaca.si/objave/290,zamenjal link na landing page za pp,x,,,,
154,Občina,Dobje,FALSE,FALSE,Franc Leskovšek,m,obcinadobje@siol.net,,,x,,,,
20,Občina,Dobrepolje,FALSE,FALSE,Janez Pavlin,m,obcina@dobrepolje.si,,,x,,,,
155,Občina,Dobrna,FALSE,FALSE,Martin Brecl,m,obcina@dobrna.si,,,x,,,,
21,Občina,Dobrova – Polhov Gradec,TRUE,FALSE,Jure Dolinar,m,info@dobrova-polhovgradec.si,https://www.dobrova-polhovgradec.si/objava/1252091,Zamenjal link na trenutni pp,x,,,,
156,Občina,Dobrovnik,FALSE,FALSE,Marjan Kardinar,m,obcina@dobrovnik.si,,,x,,,,
22,Občina,Dol pri Ljubljani,TRUE,TRUE,Željko Savič,m,obcina@dol.si,https://dolpriljubljani.e-obcina.si/objava/1167718,Zamenjal link na trenutni pp,x,,,,
157,Občina,Dolenjske Toplice,FALSE,FALSE,Franc Vovk,m,obcina@dolenjske-toplice.si,,,x,,,,
23,Občina,Domžale,TRUE,TRUE,mag. Renata Kosec,f,vlozisce@domzale.si,https://naplanzidejo.domzale.si/,Zamenjal link na trenutni pp,x,,,,
24,Občina,Dornava,FALSE,FALSE,Milan Šilak,m,obcina.dornava@dornava.si,,Nov župan. ,x,,,,
25,Občina,Dravograd,TRUE,TRUE,Anton Preksavec,m,obcina@dravograd.si,https://www.dravograd.si/objava/1206445,Zamenjal link na trenutni pp,x,,,,
26,Občina,Duplek,FALSE,TRUE,Mitja Horvat,m,obcina.duplek@duplek.si,,,x,,,,
27,Občina,Gorenja vas – Poljane,FALSE,FALSE,Milan Čadež,m,info@obcina-gvp.si,,,x,,,,
28,Občina,Gorišnica,FALSE,TRUE,Borut Kolar,m,obcina@gorisnica.eu,,,x,,,,
207,Občina,Gorje,TRUE,FALSE,Peter Torkar,m,obcina.gorje@gorje.si,https://www.gorje.si/objava/1070462,Zamenjal link na trenutni pp,x,,,,
29,Občina,Gornja Radgona,FALSE,TRUE,Urška Mauko Tuš,f,obcina@gor-radgona.si,,,x,,,,
30,Občina,Gornji Grad,FALSE,FALSE,Anton Špeh,m,obcina@gornji-grad.si,,,x,,,,
31,Občina,Gornji Petrovci,FALSE,FALSE,Milan Horvat,m,obcinagp@gornji-petrovci.si,,Nov župan.,x,,,,
158,Občina,Grad,FALSE,FALSE,Cvetka Ficko,f,tajnistvo@obcina-grad.si,,,x,,,,
32,Občina,Grosuplje,FALSE,FALSE,dr. Peter Verlič,m,info@grosuplje.si,,,x,,,,
159,Občina,Hajdina,TRUE,FALSE,mag. Stanislav Glažar,m,uprava@hajdina.si,https://www.hajdina.si/objava/1107878,Zamenjal link na trenutni pp,x,,,,
160,Občina,Hoče – Slivnica,FALSE,FALSE,dr. Marko Soršak,m,obcina@hoce-slivnica.si,,,x,,,,
161,Občina,Hodoš,FALSE,FALSE,Denis Tamaško,m,obcina-hodos-kozseg@siol.net,,,x,,,,
162,Občina,Horjul,FALSE,FALSE,Janko Prebil,m,obcina@horjul.si,,,x,,,,
34,Občina,Hrastnik,TRUE,TRUE,Marko Funkl,m,obcina.hrastnik@hrastnik.si,https://www.hrastnik.si/obvestila/aktualno/participativni-proacun-2025-2026-izglasovani-predlogi-po-posameznih-krajevnih-skupnostih-2579.html,Zamenjal link na trenutni pp,x,,,,
35,Občina,Hrpelje – Kozina,TRUE,FALSE,Saša Likavec Svetelšek,f,obcina.hrpelje-kozina@hrpelje.si,https://www.hrpelje-kozina.si/objave/290,Zamenjal link na landing page za pp,x,,,,
36,Občina,Idrija,FALSE,TRUE,Tomaž Vencelj,m,obcina.idrija@idrija.si,https://idrija.si/objava/1268348,Zamenjal link na trenutni pp,x,proračun je za mlade,krajevne skupnosti izbirajo,,
37,Občina,Ig,FALSE,TRUE,Zlatko Usenik,m, info@obcina-ig.si,,,x,,,,
38,Občina,Ilirska Bistrica,TRUE,TRUE,dr. Gregor Kovačič,m,obcina.ilirska-bistrica@ilirska-bistrica.si,https://www.ilirska-bistrica.si/objava/1177633,Zamenjal link na trenutni pp,x,,,,
39,Občina,Ivančna Gorica,FALSE,FALSE,Dušan Strnad,m,obc.ivancna.gorica@siol.net,,,x,,,,
40,Občina,Izola,TRUE,TRUE,Milan Bogatič,m,posta.oizola@izola.si,https://www.izola.si/objava/1177699,Zamenjal link na trenutni pp,x,,,,
41,Občina,Jesenice,TRUE,TRUE,mag. Peter Bohinec,m,obcina.jesenice@jesenice.si,https://www.jesenice.si/obcina-jesenice/participativni-proracun,,x,,,,
163,Občina,Jezersko,FALSE,FALSE,Andrej Karničar,m,obcina@jezersko.si,,,x,,,,
42,Občina,Juršinci,FALSE,TRUE,Robert Horvat,m,obcina.jursinci@jursinci.si,,,x,,,,
43,Občina,Kamnik,FALSE,FALSE,Matej Slapar,m,obcina@kamnik.si,,,x,,,,
44,Občina,Kanal ob Soči,FALSE,FALSE,Miha Stegel,m,obcina.kanal@obcina-kanal.si,,,x,,,,
45,Občina,Kidričevo,FALSE,FALSE,Anton Leskovar,m,obcina@kidricevo.si,,,x,,,,
46,Občina,Kobarid,FALSE,FALSE,Marko Matajurc,m,obcina@kobarid.si,,,x,,,,
47,Občina,Kobilje,FALSE,FALSE,mag. Darko Horvat,m,obcina@kobilje.si,,,x,,,,
48,Občina,Kočevje,FALSE,FALSE,Gregor Košir,m,obcina@kocevje.si,,,x,,,,
49,Občina,Komen,TRUE,TRUE,mag. Erik Modic,m,obcina@komen.si,https://www.komen.si/za-obcane/participativni-proracun-2024-2025/,Dodal mag. k županu,x,POSLAT VPRAŠANJE,kje so rezultati?,,x
164,Občina,Komenda,FALSE,FALSE,Jurij Kern,m,obcina@komenda.si,,,x,,,,
50,Mestna občina,Koper,TRUE,FALSE,Aleš Bržan,m,obcina@koper.si,https://predlagamodlocam.koper.si/,,x,,,,
197,Občina,Kostanjevica na Krki,FALSE,FALSE,Robert Zagorc,m,obcina@kostanjevica.si,,,x,,,,
165,Občina,Kostel,FALSE,FALSE,Nataša Turk,f,obcina@kostel.si,,,x,,,,
51,Občina,Kozje,FALSE,FALSE,Milenca Krajnc,f,obcina.kozje@siol.net,,,x,,,,
52,Mestna občina,Kranj,TRUE,FALSE,Matjaž Rakovec,m,mok@kranj.si,https://predlagaj.kranj.si/,,x,,,,
53,Občina,Kranjska Gora,TRUE,FALSE,Henrika Zupan,f,obcina@kranjska-gora.si,https://obcina.kranjska-gora.si/objava/1092302,Zamenjal link na trenutni pp,x,,,,
166,Občina,Križevci,FALSE,FALSE,Branko Slavinec,m,info@obcina-krizevci.si,,,x,,,,
54,Mestna občina,Krško,TRUE,TRUE,Janez Kerin,m,obcina.krsko@krsko.si,https://www.krsko.si/vsebina/moj-projekt---participativni-proracun-mestne-obcine-krsko-za-leto-2027,Zamenjal link na trenutni pp,x,,,,
55,Občina,Kungota,FALSE,FALSE,Tamara Šnofl,f,obcina@kungota.si,,,x,,,,
56,Občina,Kuzma,FALSE,FALSE,Jožef Škalič,m,info@obcina-kuzma.si,,,x,,,,
57,Občina,Laško,TRUE,TRUE,Marko Šantej,m,obcina@lasko.si,https://lasko.si/objava/1223996,Zamenjal link na trenutni pp,x,,,,
58,Občina,Lenart,FALSE,FALSE,mag. Janez Kramberger,m,obcina@lenart.si,,,x,,,,
59,Občina,Lendava,TRUE,FALSE,Janez Magyar,m,obcina@lendava.si,https://lendava.si/vsebina/spostovane-obcanke-in-obcani-obcine-lendava,Zamenjal link na trenutni pp,x,,,,
60,Občina,Litija,FALSE,TRUE,Franci Rokavec,m,obcina.litija@litija.si,,,x,,,,
61,Mestna občina,Ljubljana,FALSE,FALSE,Zoran Janković,m,glavna.pisarna@ljubljana.si,,,x,,,,
62,Občina,Ljubno,FALSE,FALSE,Franjo Naraločnik,m,obcina@ljubno.si,,,x,,,,
63,Občina,Ljutomer,FALSE,FALSE,mag. Olga Karba,f,obcina.ljutomer@ljutomer.si,,,x,,,,
208,Občina,Log – Dragomer,FALSE,TRUE,Miran Stanovnik,m,obcina@log-dragomer.si,,,x,,,,
64,Občina,Logatec,TRUE,FALSE,Berto Menard,m,obcina.logatec@logatec.si,https://logatec.si/za-obcane/participativni-proracun/,zamenjal link na landing page za pp,x,,,,
65,Občina,Loška dolina,FALSE,FALSE,Matjaž Antončič,m,obcina@loskadolina.si,,,x,,,,
66,Občina,Loški Potok,FALSE,FALSE,Simon Debeljak,m,obcina@loski-potok.si,,,x,,,,
167,Občina,Lovrenc na Pohorju,TRUE,FALSE,Marko Rakovnik,m,obcina@lovrenc.si,https://lovrenc.si/objava/953917,Zamenjal link na trenutni pp,x,POSLAT VPRAŠANJE,kje so rezultati?,,x
67,Občina,Luče,FALSE,FALSE,Klavdij Strmčnik,m,obcina@luce.si,,,x,,,,
68,Občina,Lukovica,TRUE,TRUE,mag. Olga Vrankar,f,obcina.lukovica@lukovica.si,https://www.lukovica.si/objava/1218251,"Dodal mag. k županji, Zamenjal link na trenutni pp",x,,,,
69,Občina,Majšperk,TRUE,FALSE,Sašo Kodrič,m,obcina.majsperk@majsperk.si,https://www.majsperk.si/objava/786548,,x,,,,
198,Občina,Makole,FALSE,FALSE,Franc Majcen,m,obcina@obcina-makole.si,,,x,,,,
70,Mestna občina,Maribor,TRUE,TRUE,Aleksander Saša Arsenovič,m,mestna.obcina@maribor.si,https://nas.maribor.si/participativni-proracun/,Zamenjal link na trenutni pp,x,ne dela mi link trenutno,,,
168,Občina,Markovci,FALSE,TRUE,Milan Gabrovec,m,tajnistvo@markovci.si,,,x,,,,
71,Občina,Medvode,TRUE,TRUE,Nejc Smole,m,obcina@medvode.si,https://www.sodelujinglasuj.si/,,x,,,,
72,Občina,Mengeš,FALSE,FALSE,Bogo Ropotar,m,obcina.menges@menges.si,,,x,,,,
73,Občina,Metlika,FALSE,FALSE,Martina Legan Janžekovič,f,obcina.metlika@siol.net,,,x,,,,
74,Občina,Mežica,FALSE,FALSE,Mark Maze,m,info@mezica.si,,,x,,,,
169,Občina,Miklavž na Dravskem polju,FALSE,TRUE,mag. Egon Repnik,m,obcina.miklavz@miklavz.si,,,x,,,,
75,Občina,Miren – Kostanjevica,FALSE,FALSE,Mauricij Humar,m,tajnistvo@miren-kostanjevica.si,,,x,,,,
212,Občina,Mirna,FALSE,FALSE,Dušan Skerbiš,m,obcina@mirna.si,,,x,,,,
170,Občina,Mirna Peč,FALSE,FALSE,Andrej Kastelic,m,obcina.mirnapec@siol.net,,,x,,,,
76,Občina,Mislinja,TRUE,TRUE,Bojan Borovnik,m,obcina@mislinja.si,https://www.mislinja.si/objava/1235864,Zamenjal link na trenutni pp,x,rezultati https://www.mislinja.si/objava/1318125,,,
199,Občina,Mokronog – Trebelno,TRUE,FALSE,mag. Franc Glušič,m,obcina@mokronog-trebelno.si,https://www.mokronog-trebelno.si/objave/290,zamenjal link na landing page za pp,x,,,,
77,Občina,Moravče,FALSE,FALSE,dr. Milan Balažic,m,obcina@moravce.si,,,x,,,,
78,Občina,Moravske Toplice,FALSE,FALSE,Alojz Glavač,m,obcina@moravske-toplice.si,,,x,,,,
79,Občina,Mozirje,FALSE,FALSE,Ivan Suhoveršnik,m,obcina@mozirje.si,,,x,,,,
80,Mestna občina,Murska Sobota,FALSE,TRUE,Damjan Anželj,m,mestna.obcina@murska-sobota.si,https://murska-sobota.si/participativni-proracun,"Izvedli v letu 22 za leto 23, predloge so zbirali do 9. 12. 2022. To upoštevamo? NE",x,,,,
81,Občina,Muta,FALSE,TRUE,Angelca Mrak,f,obcina.muta@muta.si,,,x,,,,
82,Občina,Naklo,FALSE,FALSE,Ivan Meglič,m,glavna.pisarna@obcina-naklo.si,,,x,,,,
83,Občina,Nazarje,FALSE,FALSE,Matej Pečovnik,m,obcina@nazarje.si,,,x,,,,
84,Mestna občina,Nova Gorica,TRUE,FALSE,Samo Turel,m,mestna.obcina@nova-gorica.si,https://participativni-proracun.nova-gorica.si/,,x,,,,
85,Mestna občina,Novo mesto,TRUE,FALSE,Gregor Macedoni,m,mestna.obcina@novomesto.si,https://idejezanovomesto.si/,,x,,,,
86,Občina,Odranci,FALSE,FALSE,Barbara Ferenčak,f,obcina.odranci@siol.net,,,x,,,,
171,Občina,Oplotnica,FALSE,TRUE,Matjaž Orter,m,obcina@oplotnica.si,,,x,,,,
87,Občina,Ormož,FALSE,FALSE,Danijel Vrbnjak,m,obcina.ormoz@ormoz.si,,"umaknil mag., ker ga ima za imenom",x,,,,
88,Občina,Osilnica,FALSE,FALSE,Alenka Kovač,f,obcina@osilnica.si,,,x,,,,
89,Občina,Pesnica,FALSE,FALSE,mag. Gregor Žmak,m,obcina.pesnica@pesnica.si,,,x,,,,
90,Občina,Piran,TRUE,TRUE,Andrej Korenika,m,obcina.piran@piran.si,https://www.piran.si/objave/290,zamenjal link na landing page za pp,x,,,,
91,Občina,Pivka,FALSE,FALSE,Robert Smrdelj,m,obcina@pivka.si,,,x,,,,
92,Občina,Podčetrtek,FALSE,FALSE,Peter Misja,m,tajnistvo.obcina@podcetrtek.si,,,x,,,,
172,Občina,Podlehnik,FALSE,FALSE,mag. Sebastian Toplak,m,obcina.podlehnik@podlehnik.si,,,x,,,,
93,Občina,Podvelka,FALSE,FALSE,Miran Pušnik,m,obcina@podvelka.si,,,x,,,,
200,Občina,Poljčane,TRUE,FALSE,dr. Petra Vrhovnik,f,obcina@poljcane.si,https://poljcane.si/objave/290,Dal na TRUE in dodal link do landing page-a za pp,x,,,,
173,Občina,Polzela,FALSE,TRUE,Jože Kužnik,m,obcina.polzela@polzela.si,,,x,,,,
94,Občina,Postojna,TRUE,TRUE,Igor Marentič,m,obcina@postojna.si,https://www.postojna.si/objava/1113478,Zamenjal link na trenutni pp,x,,,,
174,Občina,Prebold,FALSE,TRUE,mag. Marko Repnik,m,obcina@prebold.si,,,x,,,,
95,Občina,Preddvor,FALSE,FALSE,Rok Roblek,m,obcina@preddvor.si,,,x,,,,
175,Občina,Prevalje,FALSE,TRUE,dr. Matija Tasič,m,obcina@prevalje.si,,,x,,,,
96,Mestna občina,Ptuj,TRUE,FALSE,Nuška Gajšek,f,obcina.ptuj@ptuj.si,https://www.ptuj.si/objava/383191,Zamenjal link na trenutni pp,x,,,,
97,Občina,Puconci,TRUE,TRUE,Uroš Kamenšek,m,obcina.puconci@puconci.si,https://puconci.si/objava/1125056,zamenjal link na landing page za pp,x,,,,
98,Občina,Rače – Fram,FALSE,FALSE,Samo Rajšp,m,info@race-fram.si,,Nov župan,x,,,,
99,Občina,Radeče,FALSE,FALSE,Tomaž Režun,m,info@radece.si,,,x,,,,
100,Občina,Radenci,FALSE,FALSE,Roman Leljak,m,obcina@radenci.si,,,x,,,,
101,Občina,Radlje ob Dravi,FALSE,FALSE,dr. Alan Bukovnik,m,obcina.radlje@radlje.si,,župan je vmes doktoriral apparently,x,,,,
102,Občina,Radovljica,TRUE,FALSE,Ciril Globočnik,m,obcina.radovljica@radovljica.si,https://www.radovljica.si/objava/950860,,x,,,,
103,Občina,Ravne na Koroškem,FALSE,TRUE,dr. Tomaž Rožen,m,obcina@ravne.si,https://www.ravne.si/objava/1249981,"Dal na TRUE in in dodal link, ampak  nikjer ne najdem nekih konkretnih podatkov o glasovanjih. V 24 in 25 piše samo ""v pristojnosti svetov ožjih delov lokalne skupnosti"" v 26 pa še to ne.",x,"to ni pp, ker svet predlaga",,,
176,Občina,Razkrižje,TRUE,FALSE,Stanko Ivanušič,m,obcina@razkrizje.si,https://www.razkrizje.si/objava/1025637,Nazadnje za 25,x,POSLAT MEJL,kje so rezultati?,,x
209,Občina,Rečica ob Savinji,FALSE,FALSE,dr. Majda Potočnik,f,tajnistvo@obcina-recica.si,,,x,,,,
201,Občina,Renče – Vogrsko,FALSE,FALSE,Tarik Žigon,m,info@rence-vogrsko.si,,,x,,,,
104,Občina,Ribnica,TRUE,TRUE,Samo Pogorelc,m,obcina@ribnica.si,https://www.ribnica.si/objava/1285851,Zamenjal link na trenutni pp,x,,,,
177,Občina,Ribnica na Pohorju,FALSE,FALSE,Srečko Geč,m,obcina@ribnicanapohorju.si,,,x,,,,
106,Občina,Rogaška Slatina,FALSE,FALSE,mag. Branko Kidrič,m,obcina@rogaska-slatina.si,,,x,,,,
105,Občina,Rogašovci,FALSE,FALSE,Rihard Peurača,m,obcina.rogasovci@siol.net,,,x,,,,
107,Občina,Rogatec,FALSE,FALSE,Martin Mikolič,m,obcina@rogatec.si,,,x,,,,
108,Občina,Ruše,TRUE,TRUE,Urška Repolusk,f,obcina@ruse.si,https://www.ruse.si/objava/1220949,Zamenjal link na trenutni pp,x,,,,
33,Občina,Šalovci,FALSE,TRUE,Iztok Fartek,m,info@salovci.si,https://salovci.si/objava/1026888,zamenjal link na landing page za pp,x,"to ni pp, ker komisija izbere",,,
178,Občina,Selnica ob Dravi,FALSE,FALSE,dr. Vlasta Krmelj,f,info@selnica.si,,,x,,,,
109,Občina,Semič,TRUE,TRUE,Polona Kambič,f,obcina@semic.si,https://semic.si/objava/847716,"umaknil mag., ker ga ima za imenom, zamenjal link ",x,,,,
183,Občina,Šempeter – Vrtojba,FALSE,FALSE,mag. Milan Turk,m,info@sempeter-vrtojba.si,,,x,,,,
117,Občina,Šenčur,FALSE,FALSE,Ciril Kozjek,m,obcina@sencur.si,,,x,,,,
118,Občina,Šentilj,TRUE,TRUE,mag. Štefan Žvab,m,obcina@sentilj.si,https://sentilj.si/objava/1041407,"dodal mag, posodobil link",x,POSLAT MEJL,"petra pucko odgovorila, da je bilo glasovanje izvedeno",,
119,Občina,Šentjernej,FALSE,FALSE,Jože Simončič,m,sentjernej@siol.net,,,x,,,,
120,Občina,Šentjur,FALSE,FALSE,mag. Marko Diaci,m,obcina.sentjur@sentjur.si,,,x,,,,
211,Občina,Šentrupert,FALSE,FALSE,Tomaž Ramovš,m,obcina@sentrupert.si,,,x,,,,
110,Občina,Sevnica,TRUE,FALSE,Janez Kukec,m,obcina.sevnica@siol.net,https://www.obcina-sevnica.si/sl/uradne-objave/participativni-proracun/,"Podžupan v začasnem opravljanju funkcije župana, zamenjal link.",x,,,,
111,Občina,Sežana,TRUE,TRUE,Andrej Sila,m,obcina@sezana.si,https://www.sezana.si/objave/290,zamenjal link na landing page za pp,x,,,,
121,Občina,Škocjan,FALSE,FALSE,Jože Kapler,m,info@obcina-skocjan.si,,,x,,,,
122,Občina,Škofja Loka,TRUE,TRUE,Tine Radinja,m,obcina@skofjaloka.si,https://www.skofjaloka.si/objava/1070797,Zamenjal link na trenutni pp,x,,,,
123,Občina,Škofljica,FALSE,FALSE,Primož Cimerman,m,obcina@obcina.skofljica.si,,,x,,,,
112,Mestna občina,Slovenj Gradec,FALSE,FALSE,Tilen Klugler,m,gp@slovenjgradec.si,https://www.slovenjgradec.si/Projekti/Participativni-prora%C4%8Dun/Postopek-uvajanja-participativnega-prora%C4%8Duna/Glasovanje,"Izvedli v letu 22 za leto 23, pred volitvami",x,,,,
113,Občina,Slovenska Bistrica,FALSE,FALSE,dr. Ivan Žagar,m,obcina@slov-bistrica.si,,,x,,,,
114,Občina,Slovenske Konjice,TRUE,TRUE,Primož Poklič,m,info@slovenskekonjice.si,https://www.slovenskekonjice.si/objava/844643,"ni pp, ker glasovanja o participativnem proračunu nismo imeli, predloge je obravnavala komisiji in nato potrdil občinski svet",x,POSLAT MEJL,"mojca repnik: glasovanja o participativnem proračunu nismo imeli, predloge je obravnavala komisiji in nato potrdil občinski svet.",,
124,Občina,Šmarje pri Jelšah,FALSE,FALSE,Matija Čakš,m,obcina@smarje.si,,,x,,,,
206,Občina,Šmarješke Toplice,FALSE,FALSE,mag. Marjan Hribar,m,info@smarjeske-toplice.si,,,x,,,,
125,Občina,Šmartno ob Paki,FALSE,FALSE,Janko Kopušar,m,obcina.smartno@siol.net,,,x,,,,
194,Občina,Šmartno pri Litiji,FALSE,FALSE,Blaž Izlakar,m,info@smartno-litija.si,,,x,,,,
179,Občina,Sodražica,FALSE,FALSE,mag. Blaž Milavec,m,obcina@sodrazica.si,,"22, pred volitvami",x,,,,
180,Občina,Solčava,FALSE,FALSE,Katarina Prelesnik,f,obcina@solcava.si,,,x,,,,
126,Občina,Šoštanj,TRUE,TRUE,Boris Goličnik,m,obcina@sostanj.si,https://www.sostanj.si/objava/973970,,x,,,,
202,Občina,Središče ob Dravi,FALSE,FALSE,Toni Jelovica,m,obcina.sredisce.ob.dravi@siol.net,,,x,,,,
115,Občina,Starše,FALSE,FALSE,Stanislav Greifoner,m,obcina@starse.si,,,x,,,,
127,Občina,Štore,FALSE,FALSE,Miran Jurkošek,m,obcina@store.si,,,x,,,,
203,Občina,Straža,TRUE,FALSE,Dušan Krštinc,m,info@obcina-straza.si,https://www.obcina-straza.si/objava/1271438,Zamenjal link na trenutni pp,x,,,,
181,Občina,Sveta Ana,FALSE,FALSE,Martin Breznik,m,obcina@sv-ana.si,,,x,,,,
204,Občina,Sveta Trojica v Slovenskih goricah,FALSE,FALSE,David Klobasa,m,obcina@svetatrojica.si,https://svetatrojica.si/objava/1139517,Zamenjal link na trenutni pp,x,POSLAT MEJL,"odgovor: glasuje se po naseljih, organizirajo svetniki, vsa naselja so se odločila, da se sredstva vložijo za obnovo pokopališča. ",,
182,Občina,Sveti Andraž v Slovenskih goricah,FALSE,FALSE,Darja Vudler Berlak,f,info@svandraz.si,,,x,,,,
116,Občina,Sveti Jurij ob Ščavnici,TRUE,TRUE,Andrej Vrzel,m,obcina@sveti-jurij.si,https://www.sveti-jurij.si/objava/1251090,Zamenjal link na trenutni pp,x,,,,
210,Občina,Sveti Jurij v Slovenskih goricah,FALSE,TRUE,Peter Škrlec,m,obcina@obcinajurij.si,,,x,,,,
205,Občina,Sveti Tomaž,FALSE,FALSE,Mirko Cvetko,m,obcina@sv-tomaz.si,,,x,,,,
184,Občina,Tabor,FALSE,FALSE,Marko Semprimožnik,m,info@obcina-tabor.si,,,x,,,,
10,Občina,Tišina,FALSE,TRUE,Franc Horvat,m,obcina@tisina.si,,,x,,,,
128,Občina,Tolmin,FALSE,FALSE,Alen Červ,m,obcina.tolmin@obcina.tolmin.si,,,x,,,,
129,Občina,Trbovlje,TRUE,TRUE,mag. Zoran Poznič,m,obcina.trbovlje@trbovlje.si,https://www.trbovlje.si/objave/290,dodal mag. zamenjal link na landing page za pp,x,,,,
130,Občina,Trebnje,TRUE,TRUE,Mateja Povhe,f,obcina.trebnje@trebnje.si,https://predlagam-odlocam.trebnje.si/,,x,,,,
185,Občina,Trnovska vas,FALSE,FALSE,Alojz Benko,m,obcina.trnovska.vas@siol.net,,,x,,,,
131,Občina,Tržič,TRUE,TRUE,Peter Miklič,m,obcina@trzic.si,https://projektveczatrzic.djnd.si,,x,,,,
186,Občina,Trzin,FALSE,FALSE,Peter Ložar,m,info@trzin.si,,,x,,,,
132,Občina,Turnišče,FALSE,FALSE,Borut Horvat,m,obcina@turnisce.si,,,x,,,,
133,Mestna občina,Velenje,FALSE,FALSE,Peter Dermol,m,info@velenje.si,,,x,,,,
187,Občina,Velika Polana,FALSE,FALSE,mag. Damijan Jaklin,m,obcina@velika-polana.si,,,x,,,,
134,Občina,Velike Lašče,FALSE,FALSE,Matjaž Hočevar,m,obcina.velike-lasce@siol.net,,,x,,,,
188,Občina,Veržej,FALSE,FALSE,Drago Legen,m,obcina.verzej@siol.net,,,x,,,,
